,prompt,completion
10,"Now Vitamin D3 D-3 1000IU 180 softgels l imun inflamasi tulang gigi jumlah review per bintang (1-5) : {5: 307, 4: 13, 3: 2, 2: 2, 1: 1} topik per bintang : {2: 'tebal seller asli kapsulnya engga mahal infokan pribadi boasanya kali', 4: 'pengiriman cepat harga packingnya produk barang sesuai dicoba beli rumah', 5: 'cepat barang pengiriman sesuai seller respon produk mantap terima_kasih pesanan'} ->","Now Vitamin DD-1000IU softgels adalah produk yang sangat bermanfaat untuk meningkatkan sistem imun, mengurangi inflamasi, dan menjaga kesehatan tulang dan gigi. Pelanggan yang telah mencoba produk ini memberikan review yang sangat positif, dengan mayoritas memberikan bintang 5. Mereka menyebutkan bahwa produk ini dikirim dengan cepat, harga yang sesuai, dan packing yang rapi. Selain itu, respon dari seller juga sangat cepat dan mantap. Produk ini juga terbukti asli dan tidak mengurangi kualitasnya meskipun telah diproses. Namun, ada beberapa pelanggan yang mengeluhkan bahwa botol produk ini tidak terlalu tebal. Meskipun demikian, produk ini masih layak dicoba karena banyak kelebihan yang ditawarkan. END"
11,"Siola - Virgin Coconut Oil - VCO Organik - 500gr jumlah review per bintang (1-5) : {5: 26, 4: 1, 3: 1} topik per bintang : {4: 'endapan moga putih bintang ketemu wangi bosku diperhatikan kali perfeksionis', 5: 'bagus enak sesuai barang kualitas kelapa packing cepat mantap semoga'} ->","Siola Virgin Coconut Oil (VCO) Organik adalah produk minyak kelapa yang dipercaya memiliki kualitas yang sangat baik. Produk ini memiliki kelebihan yang menarik, yaitu dikemas dengan rapi dan wangi yang menyegarkan. Pelanggan juga menyebutkan bahwa produk ini memiliki kualitas yang sangat baik dan cocok untuk para pecinta kelapa. Selain itu, produk ini juga dipercaya dapat membantu meningkatkan kualitas kulit dan rambut. Namun, ada beberapa kekurangan yang perlu diperhatikan. Beberapa pelanggan menyebutkan bahwa produk ini memiliki endapan putih yang dapat mengurangi kualitas produk. Namun, mayoritas pelanggan menyatakan bahwa produk ini memiliki kualitas yang sangat baik dan cocok untuk para pecinta kelapa. Jadi, jika Anda mencari produk minyak kelapa yang berkualitas tinggi, Siola Virgin Coconut Oil (VCO) Organik adalah pilihan yang tepat. END"
12,"Triple Pack: Tropicana Slim Hokkaido Cheese Cookies (5 Sch) jumlah review per bintang (1-5) : {5: 1851, 4: 60, 3: 23, 1: 18, 2: 8} topik per bintang : {1: 'hamil bilang barang beli pengiriman kecewa packingnya deskripsi jasa penjual', 2: 'order foto kerdus kali gini belanja card nyampe tokopedia dilayani', 3: 'penyok kardus dusnya beli bubble_wrap barang belanja kecewa dikasih remuk', 4: 'pengiriman aman enak penyok banget seller barang kardus cepat alamat', 5: 'cepat enak pengiriman aman banget packing terima_kasih seller cookies produk'} ->","Tropicana Slim Hokkaido Cheese Cookies adalah produk triple pack yang menawarkan rasa yang lezat dan kualitas yang baik. Pelanggan yang telah mencoba produk ini memberikan review yang positif, dengan banyak yang memberikan bintang lima. Mereka menyebutkan bahwa pengiriman produk ini cepat dan aman, dan packing yang baik. Selain itu, mereka juga menyebutkan bahwa seller yang menangani produk ini sangat profesional dan terima kasih atas layanan yang diberikan. Namun, ada juga beberapa pelanggan yang memberikan bintang satu hingga tiga. Mereka menyebutkan bahwa produk ini datang dengan kardus yang penyok, bubble wrap yang kekecilan, dan barang yang belum sesuai dengan foto yang ditampilkan. Meskipun demikian, produk ini masih layak dicoba karena rasa yang lezat dan kualitas yang baik. END"
13,NIVEA Body Serum Extra Bright Day & Night - Instant Glow+Night Nourish jumlah review per bintang (1-5) : {5: 65} topik per bintang : {5: 'terima_kasih cepat sesuai barang pengiriman aman seller mantap kulit pesanan'} ->,"NIVEA Body Serum Extra Bright Day & Night - Instant Glow+Night Nourish adalah produk yang sangat direkomendasikan. Pelanggan yang telah menggunakan produk ini memberikan review yang sangat positif. Mereka menyebutkan bahwa produk ini cepat sampai, pengirimannya aman, dan kulit mereka terasa mantap dan bagus setelah menggunakannya. Mereka juga mengucapkan terima kasih atas produk ini. Ini menunjukkan bahwa produk ini memiliki kualitas yang baik dan dapat diandalkan. Kelebihan lainnya adalah produk ini dapat memberikan hasil yang instan dan memberikan nutrisi yang dibutuhkan pada malam hari. Namun, produk ini mungkin tidak cocok untuk semua jenis kulit. Oleh karena itu, sebelum menggunakannya, pastikan untuk membaca label dan mencari tahu apakah produk ini cocok untuk jenis kulit Anda. END"
14,"SAFF & Co. Extrait de Parfum - MINI SIZE - LOUI jumlah review per bintang (1-5) : {5: 978, 4: 82, 3: 29, 2: 8, 1: 8} topik per bintang : {1: 'dikirim beli barang untung udah pengiriman beda tahan kepala konfirmasi', 2: 'unbox wanginya zero projection coco price quality kirim badly with', 3: 'suka wanginya baunya wangi beli parfum proses coco aroma saff', 4: 'wanginya wangi suka cocok enak banget baunya tahan parfum barang', 5: 'wanginya enak wangi banget suka tahan cocok beli loui saff'} ->","Nama produk SAFF & Co. Extrait de Parfum - MINI SIZE - LOUI memiliki banyak review positif dari pelanggan. Banyak yang menyukai wangi yang dihasilkan oleh produk ini, yang dianggap cocok dan enak. Baunya juga tahan lama, sehingga membuat produk ini menjadi pilihan yang tepat untuk menemani aktivitas sehari-hari. Selain itu, proses pengiriman produk ini juga cepat dan tepat waktu, sehingga pelanggan tidak perlu khawatir dengan keterlambatan. Namun, ada juga yang mengeluhkan kualitas produk ini, seperti wangi yang tidak sesuai dengan yang diharapkan, atau bahkan produk yang dikirimkan tidak sesuai dengan yang dipesan. Oleh karena itu, sebelum membeli produk ini, pastikan untuk membaca review-review yang diberikan oleh pelanggan lainnya. END"
15,"Slimsure Block Fat 15s (Memblock Lemak Pada Makanan yang dikonsumsi) jumlah review per bintang (1-5) : {5: 327, 4: 24, 3: 3, 1: 3} topik per bintang : {1: 'dikirim ulang dijanjikan tetep janjinya ditegur sesuai berjanji ketidaksesuaian bintang', 3: 'sehari minum hasilnya lingkar_perut turun petunjuk lumayan diawal efeknyaaa cepat', 4: 'coba cocok produk semoga_cocok dicoba turun pengiriman paket minum respon', 5: 'semoga produk seller bagus pengiriman_cepat turun cepat enak minum lancar'} ->","Slimsure Block Fat 15s adalah produk yang dapat membantu Anda mengurangi lemak dalam makanan yang dikonsumsi. Produk ini mendapatkan banyak review positif dari pelanggan, dengan banyak yang menyatakan bahwa produk ini berhasil membantu mereka menurunkan lingkar perut dan berat badan. Selain itu, banyak juga yang menyatakan bahwa produk ini mudah dikonsumsi dan enak. Namun, ada juga yang menyatakan bahwa produk ini tidak sesuai dengan janji yang diberikan, dan ada juga yang menyatakan bahwa produk ini tidak berhasil membantu mereka menurunkan berat badan. Meskipun demikian, produk ini masih layak dicoba karena banyak yang menyatakan bahwa produk ini berhasil membantu mereka menurunkan berat badan. END"
16,"NIVEA Body Care Intensive Lotion 400ml - Best Value jumlah review per bintang (1-5) : {5: 668, 4: 20, 3: 14, 1: 12, 2: 6} topik per bintang : {1: 'penjual botol pecah hancur pembatalan transaksi pengiriman kesalahan toko pedia', 2: 'pecah encer botol botolnya penutupnya gambar asli kualitas_produk body_lotion tutup', 3: 'barang botol pecah nivea tutupnya pengiriman buble_wrap bungkus beli kurir', 4: 'pengiriman barang pecah cepat bubble kurir tutupnya botol bubble_wrap kualitas_produk', 5: 'cepat pengiriman barang aman produk terima_kasih nivea bagus harga_bersaing banget'} ->","NIVEA Body Care Intensive Lotion 400ml adalah produk yang banyak dicari oleh pelanggan di sebuah marketplace. Produk ini mendapatkan banyak review positif dari pelanggan, dengan mayoritas memberikan bintang 5. Pelanggan menyukai produk ini karena pengiriman yang cepat dan aman, serta harga yang bersaing. Mereka juga menyukai kualitas produk yang bagus dan terima kasih atas bungkus yang diberikan. Namun, ada juga pelanggan yang mengeluhkan kesalahan toko pedia, pembatalan transaksi, dan botol yang pecah. Meskipun demikian, produk ini masih layak dicoba karena kualitas produk yang bagus dan harga yang bersaing. END"
17,"Biskuat Biskuit Cokelat 134.4 gr - Triple Pack jumlah review per bintang (1-5) : {5: 247, 4: 6, 3: 5, 1: 3} topik per bintang : {1: 'toko salah kirim merugikan tokopedia yaudahh dikomplain hancur dirusak sampenya', 3: 'beli biskuit banget hancur produk tipis lembar pecah kali lakban', 4: 'produk bubble_wrap remuk seller model irit kiriman berpikir respon yamg', 5: 'enak barang cepat aman rapi pengiriman_cepat produk packing terimakasih sesuai_pesanan'} ->","Biskuat Biskuit Cokelat 134.gr - Triple Pack adalah produk yang banyak dicari oleh para pecinta cokelat. Produk ini mendapatkan banyak review positif dari para pelanggan, dengan mayoritas memberikan bintang lima. Mereka menyebutkan bahwa produk ini sangat enak, pengirimannya cepat, dan paketnya rapi dan aman. Beberapa pelanggan juga menyebutkan bahwa produk ini sesuai dengan pesanan mereka. Namun, ada juga beberapa pelanggan yang mengeluhkan bahwa toko yang mengirimkan produk ini kurang memperhatikan kemasan, sehingga produk yang diterima rusak atau bahkan bocor. Selain itu, ada juga yang mengeluhkan bahwa produk yang diterima kurang berkualitas dibandingkan dengan produk yang dijual secara resmi. Meskipun demikian, Biskuat Biskuit Cokelat 134.gr - Triple Pack masih menjadi produk yang populer di pasaran karena rasa yang enak dan pengiriman yang cepat. END"
18,"Schneider Electric Leona Stop Kontak - 1 Gang Schuko - LNA2900121 jumlah review per bintang (1-5) : {5: 111, 4: 5, 3: 2, 2: 1} topik per bintang : {2: 'free perubahan stock harga quantity berlaku dirubah beli habis paket', 4: 'pengiriman mantap kecewa sameday banget pengirimannya barangnya bagus sayang buatan', 5: 'sesuai barang produk deskripsi bagus cepat original mantap berfungsi respon'} ->","Schneider Electric Leona Stop Kontak - Gang Schuko - LNAadalah produk yang memiliki banyak kelebihan. Pelanggan yang telah menggunakan produk ini memberikan review positif dengan bintang yang tinggi. Mereka menyebutkan bahwa produk ini memiliki pengiriman yang cepat dan bagus, serta buatan yang berkualitas. Selain itu, produk ini juga sesuai dengan deskripsi dan packing yang bagus. Pelanggan juga menyebutkan bahwa produk ini berfungsi dengan baik dan original. Namun, ada juga pelanggan yang menyebutkan bahwa paket yang dikirimkan bisa berubah tanpa pemberitahuan sebelumnya, dan stock produk bisa habis tanpa pemberitahuan. Namun, kesimpulannya, Schneider Electric Leona Stop Kontak - Gang Schuko - LNAadalah produk yang berkualitas tinggi, sesuai dengan deskripsi, dan berfungsi dengan baik. END"
19,"MAXELL CR2032 BATTERY MAXELL CR2032 1 STRIP jumlah review per bintang (1-5) : {5: 99, 4: 3, 3: 3, 1: 1} topik per bintang : {3: 'barang murah harga batere pemrosesan pulak merah etalase sesuai harganya', 4: 'paket terima_kasih offline toko terima harga package murah keren dikirim', 5: 'bagus barang seller sesuai pengiriman_cepat cepat sesuai_deskripsi produk terima_kasih recomended'} ->","Maxell CRBattery adalah produk baterai yang banyak dicari oleh para pengguna. Produk ini memiliki banyak kelebihan, seperti bagus, sesuai dengan deskripsi, dan pengiriman yang cepat. Hal ini dibuktikan dengan jumlah review yang tinggi dari pelanggan yang puas dengan produk ini. Selain itu, harga yang ditawarkan juga cukup terjangkau. Namun, ada beberapa kekurangan yang perlu diperhatikan. Proses pemrosesan dan pengiriman produk ini terkadang membutuhkan waktu yang lama, sehingga pelanggan harus menunggu beberapa hari untuk menerima produknya. Selain itu, toko yang menjual produk ini juga perlu mempercepat proses invoice dan pengirimannya. Namun, meskipun ada beberapa kekurangan, Maxell CRBattery tetap menjadi pilihan yang baik bagi para pengguna yang mencari produk baterai yang berkualitas dengan harga yang terjangkau. END"
20,"Tolak Angin Bebas Gula Cair Dus 5x5's Herbal - Masuk Angin jumlah review per bintang (1-5) : {5: 984, 4: 17, 3: 9, 1: 6, 2: 2} topik per bintang : {1: 'duit dikirim refund buka pesan harga balikin produk sidomuncul kirim', 3: 'terima barang pengiriman salah kurir beli paket sampe tanggal kali', 4: 'sesuai pengiriman pesanan packing standar bubble_wrap kotak sesuai_deskripsi penyok datenya', 5: 'cepat pengiriman sesuai barang aman pesanan diterima terima_kasih packing produk'} ->","Tolak Angin Bebas Gula Cair Dus 5x5s Herbal ini adalah produk yang banyak dicari oleh para pelanggan. Produk ini mendapatkan banyak review positif dari para pelanggan, dengan jumlah review yang paling banyak adalah bintang lima. Dari review-review tersebut, para pelanggan menyebutkan bahwa produk ini dikirim dengan cepat, aman, dan sesuai dengan deskripsi. Packing produk juga terlihat rapi dan aman. Namun, ada juga beberapa pelanggan yang mengeluhkan kurir yang salah, pengiriman yang salah, dan refund yang tidak diterima. Namun, dari banyaknya review positif yang diberikan, produk ini layak untuk dicoba. END"
21,"Kacamata Baca Plus Auto Focus Fokus All Range Semua Ukuran Lensa 627 jumlah review per bintang (1-5) : {5: 298, 4: 41, 3: 24, 1: 12, 2: 2} topik per bintang : {1: 'plus ukuran kabur mata sesuai total kacamata cocok dipake baca', 2: 'pengiriman keterangan autofokus baca duduk jarak basa basi nonton lumayan', 3: 'kacamata barang plus pakai baca kacamatanya sesuai jarak mata bagus', 4: 'sesuai barang cepat diterima harga kacamata ukuran baca respon bagus', 5: 'barang sesuai bagus sesuai_deskripsi cepat pengiriman_cepat seller kacamata pesanan cocok'} ->","Kacamata Baca Plus Auto Focus Fokus All Range Semua Ukuran Lensa adalah produk yang dapat memenuhi kebutuhan para pengguna yang membutuhkan kacamata baca. Produk ini memiliki kelebihan yaitu dapat menyesuaikan ukuran lensa dengan semua ukuran, sehingga dapat menyesuaikan dengan mata pengguna. Selain itu, produk ini juga memiliki fitur auto focus yang dapat membantu pengguna untuk melihat dengan jelas tanpa harus menyesuaikan lensa secara manual. Produk ini juga memiliki fitur fokus all range yang dapat membantu pengguna untuk melihat dengan jelas dari jarak dekat hingga jarak jauh.

Kacamata Baca Plus Auto Focus Fokus All Range Semua Ukuran Lensa juga memiliki kekurangan. Beberapa pelanggan mengeluhkan bahwa produk ini kurang cocok dengan ukuran mata mereka, sehingga menyebabkan kabur ketika dipakai. Beberapa pelanggan juga mengeluhkan bahwa produk ini kurang sesuai dengan deskripsi yang diberikan. Namun, mayoritas pelanggan yang telah menggunakan produk ini memberikan respon yang positif, dan menyatakan bahwa produk ini sesuai dengan harga yang ditawarkan, serta cepat diterima. END"
22,WDressroom No. 53 Mediterranian Breeze - Eau De Perfume Korea | 70 ml jumlah review per bintang (1-5) : {5: 6} topik per bintang : {5: 'cepat sesuai pengiriman vibes enak pesanan favorit berasa recommended wanginya'} ->,"WDressroom No. Mediterranian Breeze - Eau De Perfume Korea | ml adalah produk yang memiliki banyak kelebihan. Pelanggan yang telah mencoba produk ini menyebutkan bahwa pengiriman yang cepat dan pelayanan yang baik dari seller. Selain itu, harga yang ditawarkan juga terjangkau. Wanginya juga sangat enak dan menyegarkan.

Namun, ada beberapa hal yang perlu dipertimbangkan sebelum membeli produk ini. Beberapa pelanggan menyebutkan bahwa wangi yang ditawarkan mungkin tidak sesuai dengan harapan. Oleh karena itu, sebelum membeli produk ini, pastikan untuk membaca deskripsi produk dan review pelanggan lainnya untuk memastikan bahwa produk ini sesuai dengan kebutuhan Anda. END"
23,"NIMO Push Up Stand | Alat Bantu Push Up | Olahraga Fitness - III jumlah review per bintang (1-5) : {5: 9, 4: 2, 2: 2, 3: 2} topik per bintang : {3: 'besi plastik toko beli kena pecah takut gitu mahal emang', 5: 'barang bagus mantap push sesuai keren puas seller barangnya bahannya'} ->","NIMO Push Up Stand adalah alat bantu push up yang dapat membantu Anda dalam melakukan olahraga fitness. Produk ini mendapatkan banyak review positif dari pelanggan yang telah menggunakannya. Banyak yang menyebutkan bahwa produk ini memiliki bahan yang kuat dan berkualitas, sehingga dapat bertahan lama. Bahan plastik yang digunakan juga terlihat kokoh dan tidak mudah pecah. Selain itu, harga yang ditawarkan juga terbilang cukup terjangkau.

Beberapa pelanggan juga menyebutkan bahwa produk ini sangat bagus dan keren. Bahannya yang kuat dan tahan lama membuat produk ini cocok untuk digunakan oleh anak-anak. Selain itu, produk ini juga sesuai dengan fungsi push up yang diinginkan.

NIMO Push Up Stand adalah produk yang bagus untuk melakukan olahraga fitness. Bahannya yang kuat dan tahan lama membuat produk ini cocok untuk digunakan oleh anak-anak. Selain itu, harga yang ditawarkan juga terbilang cukup terjangkau. Namun, ada beberapa pelanggan yang mengeluhkan bahwa produk ini tidak selalu tersedia di toko-toko. END"
